t,accel_raw,gyro_raw,kalman_angle
0.0,-92.12629,-4.079005e-5,-92.11073
0.0029999998,-92.0188,-0.0016723967,-92.110756
0.0059999996,-92.17155,-0.0024882,-92.11146
0.009,-91.99062,-0.0054017827,-92.11166
0.011999999,-92.22253,-0.007383019,-92.11374
0.018,-92.32673,-0.011112406,-92.11912
0.020999998,-92.58217,-0.011462035,-92.12668
0.023999998,-92.77991,-0.013093643,-92.137886
0.026999999,-93.10462,-0.014259077,-92.15519
0.029999997,-93.13111,-0.011345492,-92.17387
0.032999996,-93.22402,-0.0070333895,-92.194954
0.036,-93.22472,-0.0034205464,-92.21701
0.038999997,-93.10553,0.00030883987,-92.23736
0.041999996,-92.94317,0.0040382263,-92.254585
0.044999998,-92.644104,0.0080007,-92.26465
0.047999997,-92.41625,0.009981936,-92.26882
0.050999995,-92.26677,0.011730085,-92.26867
0.053999998,-92.025085,0.011030825,-92.26132
0.059999995,-93.55183,0.0080007,-92.30675
0.06299999,-91.79079,0.0055532893,-92.29019
0.06599999,-90.01403,0.0045043994,-92.20748
0.069,-91.94765,0.0018239032,-92.19757
0.072,-91.88188,0.00042538322,-92.18499
0.077999994,-91.88097,-0.0013227668,-92.17199
0.08099999,-92.154854,-0.00050696346,-92.17094
0.08399999,-92.112526,0.0005419266,-92.16775
0.087,-92.29932,0.0018239032,-92.173294
0.089999996,-91.90588,0.0006584699,-92.159706
0.092999995,-91.95992,-0.00085659337,-92.14912
0.09599999,-91.93696,-0.0016723967,-92.13752
0.09899999,-92.033394,-0.0030709163,-92.13137
0.10199999,-92.07239,-0.00528524,-92.127785
0.10499999,-92.31329,-0.0076161064,-92.138
0.107999995,-92.67406,-0.009014626,-92.16874
0.110999994,-92.90468,-0.008664995,-92.21221
0.11399999,-92.97532,-0.008315367,-92.25897
0.11699999,-92.9405,-0.00493561,-92.30212
0.11999999,-93.17712,-0.00027387674,-92.35777
0.12299999,-93.14969,0.0024066197,-92.40992
0.12599999,-92.8931,0.0047374866,-92.44434
0.129,-92.60954,0.006835266,-92.459595
0.13199998,-92.43605,0.009632305,-92.46279
0.13499999,-92.27772,0.010681196,-92.45544
0.138,-92.14556,0.0083503295,-92.439995
0.14099999,-91.99959,0.006485636,-92.41567
0.144,-92.0897,0.0034555097,-92.3984
0.14999999,-92.22798,0.0010080999,-92.39868
0.15299998,-92.2721,0.016857991,-92.391304
0.15599999,-92.35358,0.0015908164,-92.3921
0.159,-92.14653,0.0024066197,-92.378624
0.16199999,-92.13539,0.0011246431,-92.36501
0.16499999,-92.258194,0.0024066197,-92.360016
0.16799998,-92.18456,-0.0125109255,-92.35249
0.17099999,-92.170845,-0.012627468,-92.34419
0.174,-92.223885,0.0018239032,-92.33746
0.17699999,-92.22798,-0.00015733328,-92.33156
0.17999999,-92.00008,-0.00050696346,-92.3101
0.18299998,-92.100876,-0.0016723967,-92.29669
0.18599999,-92.108345,-0.0020220266,-92.28439
0.18899998,-92.29285,-0.0033040033,-92.28568
0.19199999,-92.33459,-0.0033040033,-92.289825
0.195,-92.472565,-0.0030709163,-92.3034
0.19799998,-92.50627,-0.0038867197,-92.31886
0.20099999,-92.55646,-0.0030709163,-92.337006
0.20399998,-92.61625,-0.0041198065,-92.35869
0.20699999,-92.63468,-0.0035370898,-92.38056
0.20999998,-92.498085,-0.0034205464,-92.39175
0.21299998,-92.50596,-0.0029543734,-92.40282
0.21599999,-92.67929,-0.0034205464,-92.42566
0.21899998,-92.84252,-0.002604743,-92.4588
0.22199999,-92.81266,-0.00085659337,-92.48796
0.22499998,-92.75995,0.0015908164,-92.511566
0.22799999,-92.74228,-0.01227784,-92.53494
0.23099999,-92.49016,0.005203659,-92.53637
0.23399998,-92.32531,0.006485636,-92.52568
0.23699999,-92.29313,0.0083503295,-92.51277
0.23999998,-92.373955,0.006718723,-92.50637
0.24299999,-92.18183,0.006369093,-92.486534
0.24599998,-91.95855,0.005203659,-92.45181
0.24899998,-92.15275,0.0034555097,-92.43271
0.25199997,-92.02738,0.0022900763,-92.40568
0.255,-92.04716,0.016741449,-92.37893
0.258,-92.24711,-0.00015733328,-92.3704
0.26099998,-92.342026,-0.00085659337,-92.36913
0.26399997,-92.33345,-0.0013227668,-92.36736
0.267,-92.51118,-0.00085659337,-92.37826
0.26999998,-92.448715,-4.079005e-5,-92.38405
0.27299997,-92.361725,-0.00027387674,-92.38337
0.276,-92.43071,-0.00050696346,-92.38767
0.27899998,-92.470406,0.0006584699,-92.39439
0.28199998,-92.53919,0.0010080999,-92.40565
0.28499997,-92.358765,0.0007750131,-92.40349
0.288,-92.463936,-0.00027387674,-92.409096
0.29099998,-92.54137,0.0006584699,-92.41978
0.29399997,-92.44722,0.0006584699,-92.42322
0.297,-92.3696,0.0017073598,-92.42073
0.29999998,-92.3507,-0.0125109255,-92.41924
0.30299997,-92.35617,0.0014742732,-92.41589
0.30599996,-92.36729,0.0019404466,-92.413376
0.309,-92.35358,0.0007750131,-92.41017
