t,accel_raw,gyro_raw,kalman_angle
0.02,0.503298,-0.259227,0.0303798
0.04,0.29799,0.214056,0.0679882
0.06,0.541149,0.0766509,0.149264
0.08,0.366928,0.152987,0.194296
0.1,0.28458,0.275124,0.217577
0.12,0.419296,0.198788,0.265747
0.14,0.420786,0.145353,0.303508
0.16,0.325233,0.221689,0.311561
0.18,0.283841,0.0308494,0.304977
0.2,0.257782,0.343827,0.298462
0.22,0.338784,0.229323,0.311167
0.24,0.162387,-0.0531201,0.274143
0.26,0.364765,0.114819,0.297235
0.28,0.148609,1.44306,0.282913
0.3,-1.81553,3.24459,-0.173626
0.32,1.19798,4.54993,0.225371
0.34,0.797904,14.3133,0.580141
0.36,-2.00374,43.0919,0.611424
0.38,5.38955,44.9163,2.444
0.4,8.75156,93.1912,5.37796
0.42,11.2664,107.565,8.42917
0.44,11.7305,134.748,11.2698
0.46,15.5734,175.13,14.9649
0.48,16.6284,197.0,18.356
0.5,24.691,213.542,23.1237
0.52,24.0708,250.168,27.1493
0.54,34.2435,250.168,32.656
0.56,50.7193,250.168,40.8054
0.58,60.8119,162.687,48.0949
0.6,55.3933,87.6034,51.1828
0.62,66.2186,107.596,56.4383
0.64,53.1328,140.42,57.7733
0.66,78.6631,124.871,64.7015
0.68,87.9586,18.1454,70.5798
0.7,76.3938,-15.4272,71.7459
0.72,74.598,45.5652,73.1244
0.74,84.3808,82.4431,77.0875
0.76,85.7288,0.336193,79.1741
0.78,79.8619,13.298,79.5412
0.8,79.0567,5.15299,79.5023
0.82,79.7897,5.31329,79.6517
0.84,81.4233,-1.76304,80.0513
0.86,80.94,-1.76304,80.2382
0.88,80.6512,2.55757,80.3761
0.9,79.6585,12.1301,80.3869
0.92,81.5773,7.78658,80.7915
0.94,83.1383,2.41253,81.3931
0.96,82.7532,1.29039,81.7399
0.98,82.8084,-0.259227,81.9929
1.0,82.0004,-1.18289,81.9763
1.02,81.874,-0.587471,81.9423
1.04,82.0995,-1.93098,81.9504
1.06,81.3899,-1.61801,81.7903
1.08,81.8281,-0.549303,81.7906
1.1,82.1867,-2.01495,81.855
1.12,82.1212,-3.3432,81.8679
1.14,80.9282,-0.480601,81.6338
1.16,81.2829,-0.778311,81.537
1.18,82.0074,-5.5493,81.5656
1.2,69.4219,-41.1524,78.0146
1.22,72.2423,-71.6104,75.5363
1.24,77.9982,-91.4272,74.741
1.26,72.2853,-116.878,72.3745
1.28,70.9958,-132.725,70.0269
1.3,65.4463,-110.786,67.241
1.32,64.6175,-118.893,64.8035
1.34,59.8,-75.1066,62.4573
1.36,59.1465,-100.137,60.139
1.38,51.6437,-101.358,56.553
1.4,47.2443,-126.549,52.3886
1.42,43.1491,-126.313,48.2445
1.44,45.0308,-123.603,45.5933
1.46,46.233,-150.717,43.4588
1.48,25.5883,-174.58,36.5025
