t,angle,gyro_raw
0.02,-0.162119,0.00763359,-0.0119322
0.04,-0.190351,0.122137,-0.0332616
0.06,-0.0816761,0.152672,-0.0394626
0.08,-0.122108,0.129771,-0.0542111
0.1,-0.285254,0.0992366,-0.102857
0.12,0.0948381,0.137405,-0.0565465
0.14,-0.108105,0.00763359,-0.0688585
0.16,0.0135323,0.19084,-0.0469703
0.18,0.0950404,0.145038,-0.0114217
0.2,-0.0811939,0.236641,-0.0249688
0.22,0.0406161,0.221374,-0.00632286
0.24,-0.176796,0.0992366,-0.0462463
0.26,-0.162349,0.0687023,-0.073593
0.28,0.01351,0.183206,-0.0502974
0.3,-0.0135547,0.152672,-0.0395864
0.32,-0.0404822,0.129771,-0.0382874
0.34,-0.013574,0.122137,-0.0309353
0.36,-0.243523,0.137405,-0.0805187
0.38,-0.0948157,0.114504,-0.0826802
0.4,0.312051,0.236641,0.0155563
0.42,0.0405299,0.0381679,0.0216971
0.44,-0.108438,0.0152672,-0.00987949
0.46,0.108029,0.122137,0.0199266
0.48,0.0811555,0.122137,0.0360772
0.5,-0.135451,0.122137,-0.00385002
0.52,0.0135355,0.229008,0.00335987
0.54,-0.162888,0.129771,-0.0351792
0.56,0.122166,0.152672,0.00459204
0.58,-0.135163,0.0916031,-0.0281438
0.6,-0.244273,0.198473,-0.0776578
0.62,-0.0949055,0.19084,-0.0793715
0.64,-0.027071,0.21374,-0.0639813
0.66,0.339507,0.183206,0.0355564
0.68,-0.162311,0.0687023,-0.0115279
0.7,-0.0676775,0.0381679,-0.024932
0.72,-0.162733,0.19084,-0.0556905
0.74,0.0675021,0.236641,-0.0228727
0.76,0.0812322,0.122137,0.00360792
0.78,-0.0406161,0.0992366,-0.00599581
0.8,-0.122021,0.21374,-0.0311602
0.82,0.0271095,0.0381679,-0.0169974
0.84,0,0.160305,-0.010924
0.86,-0.108054,0.122137,-0.0329267
0.88,-0.0543217,0.10687,-0.0369144
0.9,-0.0814246,0.152672,-0.0457758
0.92,-0.189184,0.19084,-0.0778851
0.94,0.0271223,0.21374,-0.0497964
0.96,0.0812899,0.206107,-0.0155404
0.98,-0.135675,0.0687023,-0.0438968
1.0,-0.0678699,0.0839695,-0.0488533
1.02,-0.0541165,0.198473,-0.0475637
1.04,-0.0543475,0.198473,-0.0466404
1.06,0.148996,0.312977,0.00478999
1.08,0.0270838,0.129771,0.0116759
1.1,-0.0813861,0.122137,-0.00934664
1.12,-0.176211,0.244275,-0.046296
1.14,-0.202888,0.0763359,-0.0833201
1.16,-0.0950629,0.312977,-0.0818533
1.18,0.149526,0.167939,-0.0240132
1.2,0.054412,0.251908,-0.00174946
1.22,-0.257173,0.0534351,-0.0629326
1.24,0,0.198473,-0.0452126
1.26,-0.0270646,0.274809,-0.0371237
1.28,-0.284378,0.0152672,-0.096918
1.3,-0.270198,0.221374,-0.135761
1.32,0.0271609,0.206107,-0.0938347
1.34,-0.175795,0.122137,-0.112182
1.36,0.135643,0.160305,-0.0504959
1.38,-0.027148,0.175573,-0.0426607
1.4,-0.216926,0.21374,-0.0818568
1.42,-0.149349,0.0687023,-0.09753
1.44,0.0813668,0.206107,-0.0517551
1.46,0.0681606,0.221374,-0.0199586
1.48,-0.135259,0.145038,-0.0459914
1.5,-0.18999,0.114504,-0.0794019
1.52,0.0135387,0.244275,-0.0537569
1.54,-0.121935,0.0381679,-0.0700589
1.56,-0.0676456,-0.0305344,-0.0703964
1.58,-0.0947933,0.160305,-0.0742961
1.6,-0.108386,0.167939,-0.0804153
1.62,-0.0135676,0.183206,-0.0619839
1.64,-0.0270646,0.122137,-0.0521721
1.66,-0.122253,0.206107,-0.0663829
1.68,0.027103,0.129771,-0.0423448
1.7,0.202888,0.0916031,0.017674
1.72,0.0406449,0.0839695,0.0240277
1.74,-0.0136289,0.0610687,0.0154268
1.76,0.0135611,0.0305344,0.0149855
1.78,-0.0407896,0.175573,0.00375763
1.8,0.0812514,0.0839695,0.0232474
1.82,-0.0815212,0.160305,-1.60988e-5
1.84,-0.121676,0.137405,-0.0276968
1.86,-0.0677416,0.19084,-0.034903
1.88,0.0678539,0.122137,-0.00874713
1.9,0,0.259542,-0.00315492
1.92,0.162926,0.114504,0.0381417
1.94,-0.14942,0.221374,-0.00414195
1.96,0.0675817,0.183206,0.0154642
1.98,-0.189184,0.244275,-0.0305883
2.0,0.0135483,0.0916031,-0.0190193
2.02,-0.230157,0.267176,-0.0662878
2.04,-0.257965,0.10687,-0.111301
2.06,-0.162618,0.0916031,-0.12273
2.08,-0.067534,0.206107,-0.106758
2.1,0.0676775,0.0534351,-0.0643757
2.12,-0.0541804,0.0534351,-0.0615636
2.14,-0.17642,0.114504,-0.0879528
2.16,0.0812706,0.137405,-0.0455515
2.18,-0.189676,0.0229008,-0.0803829
2.2,0.0270327,-0.0229008,-0.0553065
2.22,-0.0270646,0.21374,-0.0457128
2.24,0.0679827,-0.351145,-0.0241066
2.26,-0.149031,0.442748,-0.0479384
2.28,-0.0271866,0.129771,-0.0414241
2.3,0.270964,-0.0458015,0.0326885
2.32,-0.270772,0.412214,-0.0346214
2.34,0.040809,0.0610687,-0.0159763
2.36,-0.0542574,0.198473,-0.0226417
2.38,0.0542831,0.175573,-0.0018983
2.4,-0.284849,0.167939,-0.0679752
2.42,-0.0807742,0.0305344,-0.0710507
